motivationalquote
The only way to do great work is to love what you do." 
"Success is not final, failure is not fatal: It is the courage to continue that counts."
"Don't watch the clock; do what it does. Keep going." 
"The future belongs to those who believe in the beauty of their dreams." 
"The harder the battle, the sweeter the victory." 
"You are never too old to set another goal or to dream a new dream." 
"Believe you can and you're halfway there." 
"Start where you are. Use what you have. Do what you can." 
"The best way to predict the future is to create it." 
